순번,업소명,연락처,팩스,주소,영업시간,휴무일,기본정보,장애인 편의 시설,주출입구,장애인전용주차구역,출입문 문 폭,복도/통로,장애인용 엘리베이터,장애인용 화장실,음식점 좌석/테이블,장애인용 관람석,접수대 작업대,샤워실 탈의실,테이블/진열대 등 통로 폭,장애인용 객실,여객시설,비치용품,이용가능댓수,턱 치수 *삭제된 항목,단차 cm,메뉴명,경도,위도,다음 경도,다음 위도,소분류,접근여부,엘리베이터 여부,화장실 여부,경사로 여부,,,,2
1177,뚜레쥬르 화곡역점,02-2693-0021,,서울시 강서구 화곡동  1052-9,,,,지하철접근가능지상버스접근가능,경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 초과),,,,,,,,,생활,126.83995,37.5425,185855.528,449233.1277,음식점,2,2,2,2,,,,2
1178,투썸플레이스 화곡역점,02-2691-2007,,서울시 강서구 화곡3동 1051-27 1층,,,커피숍.   2층에 의자가 있어 휠체어 사용자는 올라갈 수 없으나 아래층 밖에 의자가 있어 먹을 곳 있음.,일반주차장지하철접근가능지상버스접근가능,경사로 이용가능(기울기 5도 이하),일반주차장만 있음,이용가능(80cm 이상),,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 초과),,,,,,,,,생활,126.83933,37.54237,185800.7106,449218.7928,음식점,2,2,2,2,,,,2
1179,비버리힐스폴로클럽 화곡역점,02-586-5944,,서울시 강서구 화곡3동 1051-27 1층,,,,일반주차장지하철접근가능지상버스접근가능,경사로 이용가능(기울기 5도 이하),일반주차장만 있음,이용가능(80cm 이상),,,,,,,,,,,,,,,생활,126.83933,37.54237,185800.7106,449218.7928,음식점,2,2,2,2,,,,2
1180,띠아모 한양대점,02-2298-8901,,서울시 성동구 행당동 17 한양대 제1공학과 1층,㏂08:00~㏘19:30,연중무휴,,주출입구단차없음,경사로 이용가능(기울기 5도 이하),,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 이하),,,,,,,,,생활,127.04248,37.55857,203753.377,451005.5148,음식점,1,2,2,2,,,,2
1181,스타벅스 한양대점,02-758-8015,,서울시 성동구 행당동 31-10 경희빌딩 1층,24시간,연중무휴,,,,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,127.04224,37.55723,203732.2383,450856.7812,음식점,2,,2,4,,,,2
1182,탐앤탐스 한양대점,02-2292-4565,,서울시 성동구 왕십리로 229,24시간,연중무휴,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,127.04177,37.55733,203690.7052,450867.8614,음식점,1,2,2,1,,,,2
1183,뉴욕핫도그 한양사이버대점,02-2281-1985,,서울시 성동구 왕십리로 222 한양사이버대학교 제2교사 1층,㏂08:00~㏘21:00,,건물 4층 일반화장실 내에 장애인화장실 있음,장애인용화장실장애인용엘리베이터,경사로 이용가능(기울기 5도 이하),이용가능,이용가능(80cm 이상),이동가능,,남녀별도,,,이용불편(높이 90cm 이하),,,,,,,,,생활,127.04661,37.5545,204118.5127,450553.9661,음식점,1,1,1,2,,,,1
1184,카페 아이,02-414-3908,,서울시 성동구 행당동 17 한양사이버대학교 사이버2관 1층,㏂08:30~㏘20:30,,4층 일반화장실 내에 장애인화장실 있음,장애인용화장실주출입구단차없음,턱이나계단없음,이용가능,이용가능(80cm 이상),이동가능,,남녀별도대변기 전면만 접근 가능,,,이용불편(높이 90cm 이하),,,,,,,,,생활,127.04248,37.55857,203753.377,451005.5148,음식점,1,2,1,1,,,,1
1185,코페아 한양대점,02-2220-4748,,서울시 성동구 행당동 17 한양프라자 1층,㏂07:30~㏘22:30,,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 이하),,,,,,,,,생활,127.04248,37.55857,203753.377,451005.5148,음식점,1,2,2,1,,,,2
1186,맛있는순두부앤김치찜 신촌점,02-363-9991,,서울시 서대문구 명물길 36,㏂10:00~㏘23:00,연중무휴,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,,,,,,,,,,,,생활,126.93865,37.55828,194579.3178,450974.2491,음식점,1,2,2,1,,,,2
1187,연경,02-392-9003,,서울시 서대문구 창천동 52-157,24시간,연중무휴,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.93542,37.55881,194293.9662,451033.264,음식점,1,2,2,1,,,,2
1188,가장맛있는곱창 부추곱창,02-336-8333,,서울시 서대문구 창천동 57-16,㏘15:00~㏂02:00,연중무휴,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.93501,37.55721,194257.6174,450855.708,음식점,1,2,2,1,,,,2
1189,맛진,02-336-6100,,서울시 서대문구 연세로 11길 12,㏂08:00~㏘21:00,연중무휴,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.93617,37.55904,194360.2505,451058.746,음식점,1,2,2,1,,,,2
1190,오리지널 부대찌게,02-312-0255,,서울시 서대문구 연세로 12길,㏂11:00~㏘21:30,연중무휴,,주출입구단차없음,턱이나계단없음,,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,,,,,,,,,,생활,126.93819,37.55899,194538.7256,451053.0773,음식점,1,2,2,1,,,,2
1191,해신포차,02-322-6957,,서울시 서대문구 창천동 52-39,㏘16:00~㏂02:00,연중무휴,먹고 싶은 것을 셀프로 골라먹을 수 있음  단체예약 가능,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.93526,37.55869,194279.82,451019.9552,음식점,1,2,2,1,,,,2
1192,지오짱생조개구이,02-333-2236,,서울시 서대문구 창천동 57-19,㏘17:00~㏂03:00,연중무휴,TV 방송에 여러차례 방영되고 홍콩 일본 싱가포르 타이완 등에도 여러차례 소개된 18년 전통의 원조조개구이집  순수 국내산만 사용,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.93575,37.55721,194323.0023,450855.663,음식점,1,2,2,1,,,,2
1193,떡돌김치삼겹,02-3143-3692,,서울시 서대문구 창천동 57-38,㏘12:00~㏂02:00,연중무휴,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.93504,37.55742,194260.2842,450879.0136,음식점,1,2,2,1,,,,2
1194,신촌동래파전,02-322-9483,,서울시 서대문구 창천동 57-27 1~2층,㏘12:00~㏂02:00,연중무휴,20년 전통 파전의 명가  맛집으로 방송 다수 방영,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.93575,37.55756,194323.0288,450894.5089,음식점,1,2,2,1,,,,2
1195,수상한포차 신촌점,02-338-2597,,서울시 서대문구 창천동 52-53,㏘16:30~㏂02:00,연중무휴,,주출입구단차없음,,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.93606,37.55794,194350.4484,450936.6657,음식점,2,2,2,4,,,,2
1196,연대 껍데기,02-334-5511,,서울시 서대문구 창천동 52-23,㏘12:00~㏂01:00,연중무휴,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,,,,,,,,,,생활,126.93587,37.55863,194333.7128,451013.2589,음식점,1,2,2,1,,,,2
1197,홍박아구찜,02-337-3066,,서울시 서대문구 창천동 52-25,㏘12:00~㏂01:00,연중무휴,주출입구에 3m 정도의 단차가 있는데 휠체어 진입시 도와주겠다고 함,,,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.93603,37.55882,194347.8641,451034.3371,음식점,2,,2,4,,,,2
1198,칠칠캔터키 신촌점,02-336-1977,,서울시 서대문구 연세로 9길 14,㏘16:00~㏂02:00,연중무휴,부산에 본사가 있음  약간의 단차가 있는데 휠체어 진입시 도움을 주겠다고 함,,,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.936,37.55865,194345.2006,451015.4709,음식점,2,,2,4,,,,2
1199,나주식당,02-362-9085,,서울시 서대문구 창천동 18-36,,,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 미만),이동가능,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 초과),,,,,,,,,생활,126.93745,37.55579,194473.1059,450697.9586,음식점,1,2,2,1,,,,2
1200,진원조닭한마리 신촌점,02-3141-1140,,서울시 서대문구 창천동 57-53,㏂11:00~㏂02:00,연중무휴,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.93574,37.55741,194322.1339,450877.8612,음식점,1,2,2,1,,,,2
1201,홍초불닭 신촌점,02-322-5155,,서울시 서대문구 연세로 7 안길 28-3,㏘17:00~㏂03:00,연중무휴,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.93519,37.55828,194273.6037,450974.4543,음식점,1,2,2,1,,,,2
1202,대포찜닭 신촌점,02-325-6633,,서울시 서대문구 창천동 52-13,㏂11:30~㏘23:00,,주출입구 단차높이 있으나 휠체어 진입시 도와주신다고 함,,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.93528,37.55903,194281.6131,451057.6899,음식점,2,,2,1,,,,2
1203,봉구비어 명물거리점,02-363-6859,,서울시 서대문구 연세로 4길 21,,,,주출입구단차없음,턱이나계단없음,,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.93794,37.55741,194516.5208,450877.7306,음식점,1,2,2,1,,,,2
1204,치르치르 신촌점,080-9292-7272,,서울시 서대문구 창천동 57-34,㏘15:00~㏘24:00,,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석,,,,,,,,,,,생활,126.93565,37.55721,194314.1665,450855.6691,음식점,1,2,2,1,,,,2
1205,셀빠 신촌점,02-313-6677,,서울시 서대문구 창천동 50-6,㏂11:00~㏘23:00,연중무휴,뷔페식  11:00~17:00까지는 9900원  17:00~10:30까지는 10300원,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.93774,37.55859,194498.9361,451008.7083,음식점,1,2,2,1,,,,2
1206,소도적 신촌본점,02-362-0508,,서울시 서대문구 창천동 47-12,㏘17:00~㏂02:00,연중무휴,,,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.93798,37.55891,194520.165,451044.2105,음식점,2,,2,1,,,,2
1207,신촌생고기,02-364-6571,,서울시 서대문구 창천동 9-30,㏘12:00~㏘24:00,연중무휴,,,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.93927,37.55915,194634.1614,451070.7733,음식점,2,,2,1,,,,2
1208,신촌돈부리모노,02-392-8231,,서울시 서대문구 연세로 4길 46,㏂11:30~㏘24:00,연중무휴,,,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.93902,37.55797,194611.9875,450939.8215,음식점,2,,2,1,,,,2
1209,던킨도너츠 선유도역사점,02-2679-3311,,서울시 영등포구 양평로 129,,,,장애인용화장실일반화장실장애인용엘리베이터주출입구단차없음지하철접근가능,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,휠체어 사용자용 조작반 설치음성신호장치 설치,남녀별도자동문대변기 전면/측면 모두 접근 가능대변기 손잡이 이용 가능,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.89327,37.53793,190567.1268,448719.2285,음식점,1,1,1,1,,,,1
1210,소노야 선유도점,02-2636-8586,,서울시 영등포구 양평로 134,,,,장애인용화장실일반화장실장애인용엘리베이터주출입구단차없음지하철접근가능,턱이나계단없음,,이용가능(80cm 이상),이동불편,휠체어 사용자용 조작반 설치음성신호장치 설치,남녀별도자동문대변기 전면/측면 모두 접근 가능대변기 손잡이 이용 가능,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 초과),,,,,,,,,생활,126.89281,37.53808,190526.4907,448735.9229,음식점,1,1,1,1,,,,1
1211,커피볶는피루니,02-2068-4764,,서울시 영등포구 양평동4가 202 1,,,,일반화장실주출입구단차없음지하철접근가능,턱이나계단없음,,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 초과),,,,,,,,,생활,126.8947,37.53806,190693.5274,448733.5144,음식점,1,2,2,1,,,,2
1212,투썸플레이스 선유도역점,02-2678-5908,,서울시 영등포구 양평동4가 191-1,,,,일반화장실주출입구단차없음지하철접근가능,턱이나계단없음,,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 초과),,,,,,,,,생활,126.89466,37.53845,190690.0407,448776.8036,음식점,1,2,2,1,,,,2
1213,당산쭈꾸미 당산1호점,02-2637-6677,,서울시 영등포구 당산로 234,,,,일반화장실주출입구단차없음지하철접근가능,턱이나계단없음,,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.90268,37.53435,191398.3783,448320.99,음식점,1,2,2,1,,,,2
1214,본죽 당산점,02-2635-6287,,서울시 영등포구 양평로 32,,,,일반화장실주출입구단차없음지하철접근가능,턱이나계단없음,,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 초과),,,,,,,,,생활,126.90293,37.53368,191420.3978,448246.6054,음식점,1,2,2,1,,,,2
1215,이삭토스트 당산역점,02-2677-4706,,서울시 영등포구 양평로 36,,,테이크아웃추천.,일반화장실주출입구단차없음지하철접근가능,턱이나계단없음,,이용가능(80cm 이상),이동불편,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 초과),,,,,,,,,생활,126.90267,37.53382,191397.4336,448262.1674,음식점,1,2,2,1,,,,2
1216,놀부부대찌개&철판구이 화곡역점,02-2692-4797,,서울시 강서구 화곡본동 1076-1 화곡메디컬빌딩 2층,,,부대찌개 전문점.  정문 주 출입구 턱으로 건물 옆으로 나 있는 문을 이용해야 하며 승강기 이용시 전면 폭이 쫍고 뒤쪽 계단이 있어 조심히 다녀야 함.,장애인용엘리베이터장애인용주차장일반주차장지하철접근가능지상버스접근가능,,이용가능,이용가능(80cm 이상),,휠체어 사용자용 조작반 설치,,고정식 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.84116,37.54165,185962.3029,449138.6067,음식점,2,1,2,4,,,,2
1217,파리바게뜨 화곡역점,02-2694-2626,,서울시 강서구 화곡3동 1065-14 대성빌딩 1층,,,베이커리  제과 전문점 식빵 파이 케이크 샌드위치  커피 음료 등 판매  주출입구에 턱으로 인해 옆쪽으로 돌아 들어가야 함.,장애인용엘리베이터일반엘리베이터장애인용주차장일반주차장지하철접근가능지상버스접근가능,경사로 이용가능(기울기 5도 이하),이용가능,이용가능(80cm 이상),,휠체어 사용자용 조작반 설치,,,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.83913,37.54185,185782.9368,449161.1092,음식점,1,1,2,2,,,,2
1218,롯데리아 화곡역점,02-2607-3311,,서울시 강서구 화곡3동 1065-9 로이빌딩 1층,,,,일반주차장주출입구단차없음지하철접근가능지상버스접근가능,턱이나계단없음,일반 주차장만 있음,이용가능(80cm 이상),,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 초과),,,,,,,,,생활,126.83902,37.54153,185773.1546,449125.6097,음식점,1,2,2,1,,,,2
1219,배스킨라빈스 화곡역점,02-2603-8217,,서울시 강서구 화곡3동 1066-20 심당빌딩 1층,,,아이스크림 전문점.  테크가 넓음. 안쪽에 먹을 공간은 있으나 장소 협소.   출입구 경사 급함.,일반엘리베이터일반주차장지하철접근가능지상버스접근가능,,일반 주차장만 있음,이용가능(80cm 이상),,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 초과),,,,,,,,,생활,126.83818,37.54131,185698.8763,449101.3198,음식점,2,2,2,4,,,,2
1220,오븐에빠진닭 화곡역점,02-2694-2282,,서울시 강서구 화곡3동 1066-20 심당빌딩 1층,,,오븐구이 치킨 전문점.  직접 진입은 안되고 옆 가게와 데크가 연결되어 있어 옆 가게 경사를 이용하여야 함   출입구 경사 급함.,일반엘리베이터일반주차장지하철접근가능지상버스접근가능,,,이용가능(80cm 이상),,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 초과),,,,,,,,,생활,126.83818,37.54131,185698.8763,449101.3198,음식점,2,2,2,4,,,,2
1221,죽단지,02-538-1688,,서울시 강남구 역삼동 826-37 쌍용플래티넘밸류 상가,㏂10:00~㏘21:00,,,,경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석,,,,,,,,,,,생활,127.03041,37.4954,202689.1827,443994.0178,음식점,2,,2,2,,,,2
1222,장서는날,02-567-4475,,서울시 강남구 강남대로 78길 35,㏂10:00~㏘24:00,,점심에 식사가능  저녁때 술 판매,,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,,,,,,,,,,생활,127.0322,37.49571,202847.4622,444028.4764,음식점,2,,2,1,,,,2
1223,버거킹 강남점,02-552-0966,,서울시 강남구 역삼동 825-22 역삼동 미림타워 1층,㏂10:00~㏘21:00,,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,,,,,,,,,,생활,127.02975,37.49736,202630.7496,444211.5336,음식점,1,2,2,1,,,,2
1224,원참치,02-501-1640,,서울시 강남구 역삼1동 826-39 해정빌딩 1층,㏂10:00~㏘22:30,,오전에 식사가능 (오후 2시 이전)  오후에는 식사 불가능,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,,,,,,,,,,생활,127.03015,37.49572,202666.1793,444029.5262,음식점,1,2,2,1,,,,2
1225,고고초밥,02-554-8883,,서울시 강남구 역삼동 826-37 쌍용플래티넘벨류 상가 B125,㏂10:00~㏘21:00,,,,경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,,,,,,,,,,생활,127.03041,37.4954,202689.1827,443994.0178,음식점,2,,2,2,,,,2
1226,놀부부대찌개&철판구이 역삼3호점,02-539-5566,,서울시 강남구 역삼동 831-35 1층,24시간,,,주출입구단차없음,턱이나계단없음,,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,127.03105,37.49462,202745.8071,443907.4665,음식점,1,2,2,1,,,,2
1227,하남돼지집 강남대로점,02-501-5292,,서울시 강남구 역삼동 831-29,㏘18:00~㏂01:00,매주 월요일,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,127.03076,37.49475,202720.1571,443921.8864,음식점,1,2,2,1,,,,2
1228,덕이 닭찜,02-552-0757,,서울시 강남구 역삼동 826-37 쌍용플래티넘밸류 상가 B132 133호,㏂10:00~㏘21:00,,,,경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,127.03041,37.4954,202689.1827,443994.0178,음식점,2,,2,2,,,,2
1229,황해도 왕족발 찹쌀순대,02-557-6368,,서울시 강남구 역삼동 831-28,24시간,,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,,,,,,,,,,생활,127.03096,37.49481,202737.8413,443928.5514,음식점,1,2,2,1,,,,2
1230,롯데리아 우장산역점,02-2064-0531,,서울시 강서구 내발산동 719-6 송화프라자 1층,,,,장애인용엘리베이터일반엘리베이터장애인용주차장일반주차장주출입구단차없음지하철접근가능지상버스,턱이나계단없음,이용가능,이용가능(80cm 이상),,휠체어 사용자용 조작반 설치,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 초과),,,,,,,,,생활,126.83592,37.54958,185500.7465,450019.5368,음식점,1,1,2,1,,,,2
1231,버거킹 가산디지털점,02-853-0332,,서울시 금천구 가산동 371-28 우림라이온스벨리 A동 1214호,㏂09:00~㏘20:00,,주말에는 오전 10시 오픈,,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.88251,37.47997,189608.1182,442287.5403,음식점,2,,2,1,,,,2
1232,소프트비,02-866-6300,,서울시 금천구 가산동 371-28 우림라이온스벨리 A동 122호,㏂07:00~㏘24:00,,연중무휴 배달가능  주말 및 공휴일 08:00~23:00,,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.88251,37.47997,189608.1182,442287.5403,음식점,2,,2,1,,,,2
1233,김밥천국,02-715-2700,,서울시 마포구 도화동 555번지 한화오벨리스크,,,,,턱이나계단없음,,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.94547,37.54004,195180.7362,448949.457,음식점,2,,2,1,,,,2
1234,파리바게뜨 마포역점,02-712-3919,,서울시 마포구 도화동 555번지 한화오벨리스크,,,주인이 조사는 허락은 해주었지만 내부 사진은 찍지말라고해서   외부 주출입구만 허락을 해주어서 외부만 찍었음.,,턱이나계단없음,,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.94545,37.53998,195178.9648,448942.7988,음식점,2,,2,1,,,,2
1235,카페바모스 메세나폴리스점,02-335-0562,,서울시 마포구 양화로 45 메세나폴리스 130호,,,,,턱이나계단없음,,이용가능(80cm 이상),,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 초과),,,,,,,,,생활,126.91395,37.5515,192396.2187,450223.461,음식점,2,,2,1,,,,2
1236,뚜레쥬르 공덕역점,02-2123-9999,,서울시 마포구 백범로 178 1층,,,,,,,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.95008,37.54388,195588.3861,449375.424,음식점,2,,2,4,,,,2
1237,남도갈비,02-335-3556,,서울시 마포구 망원1동 384-1,,,,,턱이나 계단 없음 경사로 이용가능(기울기 5도 이하),,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.90773,37.55387,191846.8484,450487.024,음식점,2,,2,2,,,,2
1238,등촌동샤브샤브칼국수 메세나폴리스점,02-322-0426,,서울시 마포구 시교동 490,,,,,,,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.91378,37.55094,192381.1397,450161.3215,음식점,2,,2,4,,,,2
1239,밀감,02-324-9375,,서울시 마포구 망원동 482-8 1층,,,,,,,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,,,,,,,,,,생활,126.90759,37.55841,191834.9731,450990.9223,음식점,2,,2,4,,,,2
1240,성미골,02-3144-0495,,서울시 마포구 망원동 481-8,,,,일반주차장,,일반 주차장만 있음,,,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.90703,37.559,191785.5582,451056.4541,음식점,2,2,2,4,,,,2
1241,소공동뚝배기 합정메세나폴리스점,02-6203-1962,,서울시 마포구 양화로 45,,,,,,,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.91395,37.5515,192396.2187,450223.461,음식점,2,,2,4,,,,2
1242,채움 한정식,02-718-0075,,서울시 마포구 백범로 205 펜드라우스 상가 101동 230호,,,,,턱이나 계단 없음 경사로 이용가능(기울기 5도 이하),,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.95413,37.54411,195946.3119,449400.7689,음식점,2,,2,2,,,,2
1243,채소반 고기반,02-711-1800,,서울시 마포구 공덕동 마포대로 14길 9  1층,,,,,턱이나계단없음,,이용가능(80cm 이상),,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.95583,37.54871,196096.7866,449911.2414,음식점,2,,2,1,,,,2
1244,한우마을정육점식당,02-333-5431,,서울시 마포구 월드컵로 47,,,직원이 사장님이 없어서 안의 사진을 못찍고 주출입구만 허락을 받아서 외부만 찍었음.,,턱이나계단없음,,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.91165,37.55351,192193.1895,450446.7355,음식점,2,,2,1,,,,2
1245,합정서서갈비 합정점,02-334-3012,,서울시 마포구 합정동 427-8 1층,,,인도가 좁아서 사진을 못찍음,,턱이나계단없음,,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석이동 가능한 다인용 좌석,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.91178,37.55329,192204.6537,450422.3074,음식점,2,,2,1,,,,2
